Price,Close,High,Low,Open,Volume
Ticker,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS
Date,,,,,
2010-05-18,850.3009033203125,889.6210841459737,845.8429619590174,845.8429619590174,216852
2010-05-19,807.246337890625,857.4768035366388,802.8274439223438,857.4768035366388,97418
2010-05-20,815.5562744140625,821.206941176925,794.2439990358994,821.1677978959212,74364
2010-05-21,799.288330078125,819.2514941736276,794.2633364271112,797.7632700197726,54700
2010-05-24,792.22998046875,814.6958819713427,789.1406689964006,814.6958819713427,20882
2010-05-25,785.6016235351562,799.3079755765793,780.1464830113873,789.922754728322,28468
2010-05-26,785.366943359375,811.0394404999684,782.101678399198,811.0394404999684,93300
2010-05-27,774.710693359375,793.7744189495484,762.9987415526115,778.7776310324168,167084
2010-05-28,780.4984741210938,795.3584078120654,770.3702466108961,772.5210264872209,53952
2010-05-31,824.3156127929688,828.9886513144071,780.4983940836606,789.9227099372574,56824
2010-06-01,816.47509765625,832.8014719660928,813.3858338795968,823.162105921419,19172
2010-06-02,824.2766723632812,831.7652588607458,814.363493924543,819.2516301425776,32344
2010-06-03,813.5617065429688,834.8935491050132,803.7268160383234,834.8935491050132,109958
2010-06-04,795.86669921875,914.6679707813377,794.6153555483874,846.3904517469359,150944
2010-06-07,794.0678100585938,803.2184090762217,784.0569183046858,786.0121724650467,29108
2010-06-08,793.26611328125,814.949860878781,788.3584066850397,801.0675575864601,22904
2010-06-09,822.4581909179688,833.7204753452439,792.0539850276814,800.872201457345,63008
2010-06-10,823.6705322265625,834.1115721934927,821.2068924549155,830.9831649841407,46252
2010-06-11,812.1734008789062,832.9382373796018,795.84707706033,832.9382373796018,53154
2010-06-14,811.8997802734375,840.3683021102137,810.2573857479584,826.8379041017305,34996
2010-06-15,812.4080810546875,824.7261819226646,807.9501398815,817.2962163197578,40648
2010-06-16,815.2238159179688,821.0895795890887,807.6960858733648,814.559048462858,31466
2010-06-17,819.9161987304688,827.9718834527147,810.1790719341254,820.4245838681345,42304
2010-06-18,815.3213500976562,830.9829538036207,813.3856677230734,825.0976201424047,32270
2010-06-21,830.298828125,836.6142620071848,801.1069164633204,803.3749353190299,72262
2010-06-22,820.2683715820312,848.1502232040256,817.2963466782746,834.8936364392902,87018
2010-06-23,828.851806640625,834.8543796042259,819.2514896603502,828.6367095896335,80664
2010-06-24,837.5917358398438,844.6306507903602,828.3629935208919,834.5024724667858,89592
2010-06-25,850.3596801757812,855.6192952318058,840.7593623164454,842.3235657812203,63596
2010-06-28,857.6527099609375,862.2671291112322,850.535603545093,850.535603545093,29606
2010-06-29,867.4485473632812,872.0042515738121,856.4405041325795,862.0911698165706,53988
2010-06-30,854.0354614257812,872.0433716704755,846.625067115058,868.1328632773343,62548
2010-07-01,855.85400390625,868.0743440454613,852.4909281113762,860.3119458004713,13700
2010-07-02,844.748046875,862.5800042415066,842.7146015016197,862.5800042415066,28434
2010-07-05,848.3456420898438,857.9263875341236,840.0945267655662,857.9263875341236,77074
2010-07-06,834.9718017578125,852.0998490243121,832.5473054487198,852.0998490243121,75996
2010-07-07,834.267822265625,844.6698127782115,830.9830334044905,844.4742873585869,21338
2010-07-08,835.7538452148438,848.580332000186,832.8601071560288,848.580332000186,30802
2010-07-09,825.1369018554688,845.1195438968593,819.8381435078936,845.1195438968593,75856
2010-07-12,815.5756225585938,832.4689987677226,809.4751916215848,829.0277324820096,46066
2010-07-13,800.5985107421875,823.1621281291659,796.3164748309242,817.2963647458228,84108
2010-07-14,816.6705932617188,825.5083810532183,801.6542781426326,803.8050579132592,119120
2010-07-15,811.0982055664062,825.1174188573585,805.6040166663115,821.2069097632478,35414
2010-07-16,809.0450439453125,811.430492255683,796.1990811459339,811.0980608534293,76106
2010-07-19,800.8330688476562,815.4583806155296,796.0036002550625,805.564774724871,100374
2010-07-20,792.620849609375,808.6930274057454,790.3136404192511,808.6930274057454,34712
2010-07-21,794.2047119140625,798.1347920864753,790.4115377289506,797.3135948411697,66236
